utg000001lc	1	500000	253.271	273	2728465	dip
utg000001lc	500001	1000000	253.271	273	2728465	dip
utg000001lc	1000001	1500000	253.271	273	2728465	dip
utg000001lc	1500001	2000000	253.271	273	2728465	dip
utg000001lc	2000001	2728465	253.271	273	2728465	dip
utg000002lc	1	103829	124	11	103829	hap
utg000003lc	1	90000	219.222	9	1455368	dip
utg000003lc	90001	210000	217.75	12	1455368	hap
utg000003lc	210001	900000	261.159	69	1455368	dip
utg000003lc	900001	930000	195.333	3	1455368	hap
utg000003lc	930001	1450000	232.404	52	1455368	dip
utg000003lc	1450001	1455368	125	1	1455368	hap
utg000004lc	1	500000	128.039	362	3610502	hap
utg000004lc	500001	1000000	128.039	362	3610502	hap
utg000004lc	1000001	1500000	128.039	362	3610502	hap
utg000004lc	1500001	2000000	128.039	362	3610502	hap
utg000004lc	2000001	2500000	128.039	362	3610502	hap
utg000004lc	2500001	3000000	128.039	362	3610502	hap
utg000004lc	3000001	3610502	128.039	362	3610502	hap
utg000005lc	1	500000	262.619	84	7374554	dip
utg000005lc	500001	840000	262.619	84	7374554	dip
utg000005lc	840001	860000	193	2	7374554	hap
utg000005lc	860001	1360000	267.41	78	7374554	dip
utg000005lc	1360001	1640000	267.41	78	7374554	dip
utg000005lc	1640001	1660000	135	2	7374554	hap
utg000005lc	1660001	2160000	262.295	190	7374554	dip
utg000005lc	2160001	2660000	262.295	190	7374554	dip
utg000005lc	2660001	3160000	262.295	190	7374554	dip
utg000005lc	3160001	3560000	262.295	190	7374554	dip
utg000005lc	3560001	3600000	142.5	4	7374554	hap
utg000005lc	3600001	4100000	257.762	84	7374554	dip
utg000005lc	4100001	4440000	257.762	84	7374554	dip
utg000005lc	4440001	4460000	159	2	7374554	hap
utg000005lc	4460001	4960000	262.832	291	7374554	dip
utg000005lc	4960001	5460000	262.832	291	7374554	dip
utg000005lc	5460001	5960000	262.832	291	7374554	dip
utg000005lc	5960001	6460000	262.832	291	7374554	dip
utg000005lc	6460001	6960000	262.832	291	7374554	dip
utg000005lc	6960001	7370000	262.832	291	7374554	dip
utg000005lc	7370001	7374554	16	1	7374554	hap
utg000006lc	1	10000	195	1	209207	hap
utg000006lc	10001	100000	201.444	9	209207	dip
utg000006lc	100001	180000	193.75	8	209207	hap
utg000006lc	180001	200000	207	2	209207	dip
utg000006lc	200001	209207	193	1	209207	hap
utg000007lc	1	10000	129	1	163157	hap
utg000007lc	10001	160000	248.333	15	163157	dip
utg000007lc	160001	163157	92	1	163157	hap
utg000008lc	1	500000	132.204	515	5147238	hap
utg000008lc	500001	1000000	132.204	515	5147238	hap
utg000008lc	1000001	1500000	132.204	515	5147238	hap
utg000008lc	1500001	2000000	132.204	515	5147238	hap
utg000008lc	2000001	2500000	132.204	515	5147238	hap
utg000008lc	2500001	3000000	132.204	515	5147238	hap
utg000008lc	3000001	3500000	132.204	515	5147238	hap
utg000008lc	3500001	4000000	132.204	515	5147238	hap
utg000008lc	4000001	4500000	132.204	515	5147238	hap
utg000008lc	4500001	5147238	132.204	515	5147238	hap
utg000009lc	1	582307	130.492	59	582307	hap
utg000010lc	1	500000	125.298	114	1137549	hap
utg000010lc	500001	1137549	125.298	114	1137549	hap
utg000011lc	1	68692	131.286	7	68692	hap
utg000012lc	1	195432	128.1	20	195432	hap
utg000013lc	1	500000	126.508	1061	10600871	hap
utg000013lc	500001	1000000	126.508	1061	10600871	hap
utg000013lc	1000001	1500000	126.508	1061	10600871	hap
utg000013lc	1500001	2000000	126.508	1061	10600871	hap
utg000013lc	2000001	2500000	126.508	1061	10600871	hap
utg000013lc	2500001	3000000	126.508	1061	10600871	hap
utg000013lc	3000001	3500000	126.508	1061	10600871	hap
utg000013lc	3500001	4000000	126.508	1061	10600871	hap
utg000013lc	4000001	4500000	126.508	1061	10600871	hap
utg000013lc	4500001	5000000	126.508	1061	10600871	hap
utg000013lc	5000001	5500000	126.508	1061	10600871	hap
utg000013lc	5500001	6000000	126.508	1061	10600871	hap
utg000013lc	6000001	6500000	126.508	1061	10600871	hap
utg000013lc	6500001	7000000	126.508	1061	10600871	hap
utg000013lc	7000001	7500000	126.508	1061	10600871	hap
utg000013lc	7500001	8000000	126.508	1061	10600871	hap
utg000013lc	8000001	8500000	126.508	1061	10600871	hap
utg000013lc	8500001	9000000	126.508	1061	10600871	hap
utg000013lc	9000001	9500000	126.508	1061	10600871	hap
utg000013lc	9500001	10000000	126.508	1061	10600871	hap
utg000013lc	10000001	10600871	126.508	1061	10600871	hap
utg000014lc	1	500000	260.058	154	2580238	dip
utg000014lc	500001	1000000	260.058	154	2580238	dip
utg000014lc	1000001	1540000	260.058	154	2580238	dip
utg000014lc	1540001	1560000	208.5	2	2580238	hap
utg000014lc	1560001	2060000	256.337	101	2580238	dip
utg000014lc	2060001	2570000	256.337	101	2580238	dip
utg000014lc	2570001	2580238	67.5	2	2580238	hap
utg000015lc	1	500000	130.319	182	1817622	hap
utg000015lc	500001	1000000	130.319	182	1817622	hap
utg000015lc	1000001	1500000	130.319	182	1817622	hap
utg000015lc	1500001	1817622	130.319	182	1817622	hap
utg000016lc	1	500000	132.209	464	4639880	hap
utg000016lc	500001	1000000	132.209	464	4639880	hap
utg000016lc	1000001	1500000	132.209	464	4639880	hap
utg000016lc	1500001	2000000	132.209	464	4639880	hap
utg000016lc	2000001	2500000	132.209	464	4639880	hap
utg000016lc	2500001	3000000	132.209	464	4639880	hap
utg000016lc	3000001	3500000	132.209	464	4639880	hap
utg000016lc	3500001	4000000	132.209	464	4639880	hap
utg000016lc	4000001	4639880	132.209	464	4639880	hap
utg000017lc	1	10000	206	1	169300	dip
utg000017lc	10001	169300	221.562	16	169300	hap
utg000018lc	1	500000	46.8617	253	2528728	hap
utg000018lc	500001	1000000	46.8617	253	2528728	hap
utg000018lc	1000001	1500000	46.8617	253	2528728	hap
utg000018lc	1500001	2000000	46.8617	253	2528728	hap
utg000018lc	2000001	2528728	46.8617	253	2528728	hap
utg000019lc	1	500000	133.067	224	2233602	hap
utg000019lc	500001	1000000	133.067	224	2233602	hap
utg000019lc	1000001	1500000	133.067	224	2233602	hap
utg000019lc	1500001	2233602	133.067	224	2233602	hap
utg000020lc	1	20000	195.5	2	9683498	hap
utg000020lc	20001	480000	383.978	46	9683498	trip
utg000020lc	480001	520000	354	4	9683498	dip
utg000020lc	520001	820000	386.933	30	9683498	trip
